,role,buy,round,sell,time
0,diamonds,32,1.0,28,2024-02-22 18:08:51
1,diamonds,28,1.0,24,2024-02-22 18:09:05
2,diamonds,25,1.0,21,2024-02-22 18:09:28
3,diamonds,23,1.0,19,2024-02-22 18:09:32
4,diamonds,22,1.0,18,2024-02-22 18:09:40
5,diamonds,21,1.0,17,2024-02-22 18:09:42
6,diamonds,20,2.0,16,2024-02-22 18:10:00
7,diamonds,20,2.0,17,2024-02-22 18:10:02
8,diamonds,23,2.0,20,2024-02-22 18:10:39
9,diamonds,21,2.0,17,2024-02-22 18:10:57
10,diamonds,21,2.0,18,2024-02-22 18:10:58
11,diamonds,21,2.0,18,2024-02-22 18:11:03
12,diamonds,21,2.0,17,2024-02-22 18:11:11
13,diamonds,23,3.0,19,2024-02-22 18:11:37
14,diamonds,25,3.0,21,2024-02-22 18:12:06
15,diamonds,26,3.0,22,2024-02-22 18:12:08
16,diamonds,23,3.0,19,2024-02-22 18:12:42
17,diamonds,22,3.0,19,2024-02-22 18:12:45
18,diamonds,22,3.0,20,2024-02-22 18:12:53
19,diamonds,22,3.0,18,2024-02-22 18:12:57
20,diamonds,22,4.0,19,2024-02-22 18:13:05
21,diamonds,22,4.0,18,2024-02-22 18:13:13
22,diamonds,23,4.0,19,2024-02-22 18:13:16
23,diamonds,22,4.0,18,2024-02-22 18:13:31
24,diamonds,21,4.0,18,2024-02-22 18:13:33
25,diamonds,22,5.0,19,2024-02-22 18:14:36
26,diamonds,24,5.0,21,2024-02-22 18:14:45
27,diamonds,26,5.0,23,2024-02-22 18:14:47
28,diamonds,27,5.0,25,2024-02-22 18:14:51
29,diamonds,27,5.0,23,2024-02-22 18:14:55
30,diamonds,23,5.0,19,2024-02-22 18:15:52
31,diamonds,22,5.0,18,2024-02-22 18:15:55
32,diamonds,21,5.0,17,2024-02-22 18:15:59
33,diamonds,23,6.0,19,2024-02-22 18:16:33
34,diamonds,24,6.0,20,2024-02-22 18:16:36
35,diamonds,25,6.0,21,2024-02-22 18:16:39
36,diamonds,25,6.0,21,2024-02-22 18:16:43
37,diamonds,26,6.0,22,2024-02-22 18:16:45
38,diamonds,26,6.0,22,2024-02-22 18:17:10
39,diamonds,27,7.0,23,2024-02-22 18:17:40
40,diamonds,28,7.0,24,2024-02-22 18:17:50
41,diamonds,29,7.0,25,2024-02-22 18:18:18
42,diamonds,25,7.0,21,2024-02-22 18:18:44
43,diamonds,24,7.0,20,2024-02-22 18:18:55
44,diamonds,26,8.0,22,2024-02-22 18:19:16
45,diamonds,25,8.0,21,2024-02-22 18:19:34
46,diamonds,24,8.0,20,2024-02-22 18:20:06
47,diamonds,23,8.0,19,2024-02-22 18:20:18
48,diamonds,23,8.0,19,2024-02-22 18:20:41
49,diamonds,22,9.0,18,2024-02-22 18:20:47
50,diamonds,21,9.0,17,2024-02-22 18:21:01
51,diamonds,20,9.0,16,2024-02-22 18:21:33
52,diamonds,21,9.0,17,2024-02-22 18:21:36
53,diamonds,22,10.0,18,2024-02-22 18:22:19
54,diamonds,23,10.0,19,2024-02-22 18:22:33
55,diamonds,24,10.0,20,2024-02-22 18:22:38
56,diamonds,25,10.0,21,2024-02-22 18:22:52
57,diamonds,26,10.0,22,2024-02-22 18:23:12
58,diamonds,27,10.0,23,2024-02-22 18:23:22
59,diamonds,28,10.0,24,2024-02-22 18:23:44
60,diamonds,27,10.0,23,2024-02-22 18:23:46
61,diamonds,24,11.0,21,2024-02-22 18:24:00
62,diamonds,24,11.0,20,2024-02-22 18:24:02
63,diamonds,24,11.0,20,2024-02-22 18:24:09
64,diamonds,25,11.0,21,2024-02-22 18:24:19
65,diamonds,27,11.0,23,2024-02-22 18:24:26
66,diamonds,28,11.0,24,2024-02-22 18:24:29
67,diamonds,30,11.0,26,2024-02-22 18:24:32
68,diamonds,31,11.0,27,2024-02-22 18:24:36
69,diamonds,30,11.0,26,2024-02-22 18:24:51
70,diamonds,29,11.0,25,2024-02-22 18:24:53
71,diamonds,28,11.0,24,2024-02-22 18:24:55
72,diamonds,27,11.0,23,2024-02-22 18:25:00
73,diamonds,26,11.0,22,2024-02-22 18:25:03
74,diamonds,25,11.0,21,2024-02-22 18:25:06
75,diamonds,23,11.0,19,2024-02-22 18:25:14
76,diamonds,22,11.0,18,2024-02-22 18:25:18
77,diamonds,21,12.0,17,2024-02-22 18:25:36
78,diamonds,20,12.0,16,2024-02-22 18:25:41
79,diamonds,20,12.0,16,2024-02-22 18:25:43
80,diamonds,21,12.0,17,2024-02-22 18:25:52
81,diamonds,23,12.0,19,2024-02-22 18:25:54
82,diamonds,24,12.0,20,2024-02-22 18:25:58
83,diamonds,25,12.0,21,2024-02-22 18:25:59
84,diamonds,27,12.0,23,2024-02-22 18:26:03
85,diamonds,27,12.0,23,2024-02-22 18:26:44
86,diamonds,25,13.0,21,2024-02-22 18:27:24
87,diamonds,24,13.0,20,2024-02-22 18:27:32
88,diamonds,23,13.0,19,2024-02-22 18:27:33
89,diamonds,22,13.0,18,2024-02-22 18:27:41
90,diamonds,21,13.0,17,2024-02-22 18:27:54
91,diamonds,23,14.0,19,2024-02-22 18:28:55
92,diamonds,24,14.0,20,2024-02-22 18:29:14
93,diamonds,25,14.0,21,2024-02-22 18:29:19
94,diamonds,26,15.0,22,2024-02-22 18:30:11
95,diamonds,27,15.0,23,2024-02-22 18:30:20
96,diamonds,28,15.0,24,2024-02-22 18:30:24
97,diamonds,29,15.0,25,2024-02-22 18:30:29
98,diamonds,30,15.0,26,2024-02-22 18:30:33
99,diamonds,31,15.0,27,2024-02-22 18:30:36
100,diamonds,29,15.0,25,2024-02-22 18:30:50
101,diamonds,28,15.0,24,2024-02-22 18:30:52
102,diamonds,27,15.0,23,2024-02-22 18:31:00
103,diamonds,26,15.0,22,2024-02-22 18:31:13
104,diamonds,27,15.0,23,2024-02-22 18:31:17
105,diamonds,29,16.0,25,2024-02-22 18:31:49
106,diamonds,30,16.0,26,2024-02-22 18:32:08
107,diamonds,29,17.0,25,2024-02-22 18:33:10
108,diamonds,28,17.0,24,2024-02-22 18:33:13
109,diamonds,26,17.0,22,2024-02-22 18:33:17
110,diamonds,24,17.0,20,2024-02-22 18:33:21
111,diamonds,23,17.0,19,2024-02-22 18:33:30
112,diamonds,24,17.0,20,2024-02-22 18:33:45
113,diamonds,25,17.0,21,2024-02-22 18:33:51
114,diamonds,26,18.0,22,2024-02-22 18:34:53
115,diamonds,28,18.0,24,2024-02-22 18:34:58
116,diamonds,29,18.0,25,2024-02-22 18:35:01
117,diamonds,31,18.0,27,2024-02-22 18:35:05
118,diamonds,32,18.0,28,2024-02-22 18:35:09
119,diamonds,33,18.0,29,2024-02-22 18:35:15
120,diamonds,32,18.0,28,2024-02-22 18:35:18
121,diamonds,31,18.0,27,2024-02-22 18:35:31
122,diamonds,30,18.0,26,2024-02-22 18:35:34
123,diamonds,29,18.0,25,2024-02-22 18:35:36
124,diamonds,26,18.0,22,2024-02-22 18:36:07
125,diamonds,28,19.0,24,2024-02-22 18:36:21
126,diamonds,29,19.0,25,2024-02-22 18:36:33
127,diamonds,28,19.0,24,2024-02-22 18:37:05
128,diamonds,27,19.0,23,2024-02-22 18:37:12
129,diamonds,26,19.0,22,2024-02-22 18:37:42
130,diamonds,28,20.0,24,2024-02-22 18:37:51
131,diamonds,29,20.0,25,2024-02-22 18:37:57
132,diamonds,30,20.0,26,2024-02-22 18:38:02
133,diamonds,32,20.0,28,2024-02-22 18:38:06
134,diamonds,33,20.0,29,2024-02-22 18:38:11
135,diamonds,31,20.0,27,2024-02-22 18:38:44
136,diamonds,30,20.0,26,2024-02-22 18:38:47
137,diamonds,29,20.0,25,2024-02-22 18:38:48
138,diamonds,28,20.0,24,2024-02-22 18:38:51
139,diamonds,26,21.0,22,2024-02-22 18:39:26
140,diamonds,25,21.0,21,2024-02-22 18:39:29
141,diamonds,23,21.0,19,2024-02-22 18:39:37
142,diamonds,22,21.0,18,2024-02-22 18:39:44
143,diamonds,21,21.0,17,2024-02-22 18:39:51
144,diamonds,20,21.0,16,2024-02-22 18:39:58
145,diamonds,19,21.0,15,2024-02-22 18:40:32
146,diamonds,20,21.0,16,2024-02-22 18:40:43
147,diamonds,19,22.0,15,2024-02-22 18:40:53
148,diamonds,18,22.0,14,2024-02-22 18:40:55
149,diamonds,17,22.0,13,2024-02-22 18:41:04
150,diamonds,16,22.0,12,2024-02-22 18:41:11
151,diamonds,17,22.0,13,2024-02-22 18:41:28
152,diamonds,17,22.0,13,2024-02-22 18:41:35
153,diamonds,18,22.0,14,2024-02-22 18:41:47
