,time,market,price,type,round,user
2523,2024-02-22 18:08:33,spades,24,sell,1,xin
2518,2024-02-22 18:08:42,hearts,40,sell,1,xin
2516,2024-02-22 18:08:44,diamonds,24,sell,1,xin
2515,2024-02-22 18:08:45,hearts,40,sell,1,xin
2514,2024-02-22 18:08:47,hearts,40,sell,1,xin
2513,2024-02-22 18:08:51,hearts,40,sell,1,xin
2509,2024-02-22 18:09:00,spades,29,sell,1,xin
2506,2024-02-22 18:09:02,spades,29,sell,1,xin
2505,2024-02-22 18:09:04,hearts,24,buy,1,xin
2503,2024-02-22 18:09:05,hearts,24,buy,1,xin
2501,2024-02-22 18:09:07,hearts,24,buy,1,xin
2500,2024-02-22 18:09:09,hearts,24,buy,1,xin
2491,2024-02-22 18:09:33,spades,28,sell,1,xin
2488,2024-02-22 18:09:36,spades,28,sell,1,xin
2480,2024-02-22 18:10:00,diamonds,17,sell,2,xin
2479,2024-02-22 18:10:02,diamonds,16,sell,2,xin
2477,2024-02-22 18:10:08,spades,28,sell,2,xin
2476,2024-02-22 18:10:09,spades,28,sell,2,xin
2475,2024-02-22 18:10:11,spades,28,sell,2,xin
2474,2024-02-22 18:10:13,spades,28,sell,2,xin
2472,2024-02-22 18:10:15,spades,28,sell,2,xin
2469,2024-02-22 18:10:16,spades,25,sell,2,xin
2467,2024-02-22 18:10:18,spades,25,sell,2,xin
2463,2024-02-22 18:10:24,hearts,24,buy,2,xin
2459,2024-02-22 18:10:26,hearts,24,buy,2,xin
2440,2024-02-22 18:10:51,diamonds,23,buy,2,xin
2435,2024-02-22 18:10:53,hearts,25,buy,2,xin
2432,2024-02-22 18:10:57,spades,24,sell,2,xin
2428,2024-02-22 18:11:11,spades,25,sell,2,xin
2426,2024-02-22 18:11:29,hearts,25,sell,3,xin
2425,2024-02-22 18:11:32,hearts,25,sell,3,xin
2423,2024-02-22 18:11:34,hearts,25,sell,3,xin
2422,2024-02-22 18:11:39,diamonds,23,buy,3,xin
2420,2024-02-22 18:11:42,diamonds,23,buy,3,xin
2418,2024-02-22 18:11:44,diamonds,23,buy,3,xin
2415,2024-02-22 18:11:53,diamonds,23,buy,3,xin
2413,2024-02-22 18:11:54,diamonds,23,buy,3,xin
2411,2024-02-22 18:11:57,diamonds,23,buy,3,xin
2408,2024-02-22 18:11:58,diamonds,23,buy,3,xin
2405,2024-02-22 18:12:08,spades,27,sell,3,xin
2388,2024-02-22 18:12:32,spades,24,sell,3,xin
2386,2024-02-22 18:12:34,spades,24,sell,3,xin
2374,2024-02-22 18:12:45,spades,26,sell,3,xin
2373,2024-02-22 18:12:47,spades,26,sell,3,xin
2372,2024-02-22 18:13:02,hearts,21,sell,4,xin
2371,2024-02-22 18:13:04,hearts,21,sell,4,xin
2369,2024-02-22 18:13:05,hearts,21,sell,4,xin
2368,2024-02-22 18:13:07,hearts,21,sell,4,xin
2366,2024-02-22 18:13:11,hearts,21,sell,4,xin
2365,2024-02-22 18:13:16,hearts,24,sell,4,xin
2363,2024-02-22 18:13:23,hearts,19,sell,4,xin
2362,2024-02-22 18:13:29,spades,29,sell,4,xin
2361,2024-02-22 18:13:31,spades,30,sell,4,xin
2360,2024-02-22 18:13:32,spades,30,sell,4,xin
2347,2024-02-22 18:13:52,diamonds,18,sell,4,xin
2345,2024-02-22 18:13:53,diamonds,21,buy,4,xin
2343,2024-02-22 18:13:55,hearts,20,buy,4,xin
2341,2024-02-22 18:13:58,hearts,20,buy,4,xin
2339,2024-02-22 18:14:00,spades,30,sell,4,xin
2337,2024-02-22 18:14:02,spades,30,sell,4,xin
2336,2024-02-22 18:14:05,spades,30,sell,4,xin
2333,2024-02-22 18:14:12,spades,30,sell,4,xin
2328,2024-02-22 18:14:34,hearts,22,sell,5,xin
2327,2024-02-22 18:14:35,hearts,22,sell,5,xin
2325,2024-02-22 18:14:37,hearts,22,sell,5,xin
2322,2024-02-22 18:14:44,diamonds,22,buy,5,xin
2321,2024-02-22 18:14:45,diamonds,22,buy,5,xin
2320,2024-02-22 18:14:47,diamonds,24,buy,5,xin
2319,2024-02-22 18:14:48,hearts,18,sell,5,xin
2318,2024-02-22 18:14:50,hearts,18,sell,5,xin
2313,2024-02-22 18:14:55,hearts,15,sell,5,xin
2311,2024-02-22 18:14:58,hearts,18,buy,5,xin
2309,2024-02-22 18:14:59,hearts,18,buy,5,xin
2306,2024-02-22 18:15:01,hearts,18,buy,5,xin
2304,2024-02-22 18:15:03,hearts,18,buy,5,xin
2302,2024-02-22 18:15:05,hearts,18,buy,5,xin
2301,2024-02-22 18:15:06,spades,31,sell,5,xin
2300,2024-02-22 18:15:06,hearts,21,buy,5,xin
2298,2024-02-22 18:15:10,hearts,22,buy,5,xin
2297,2024-02-22 18:15:16,hearts,23,sell,5,xin
2296,2024-02-22 18:15:18,hearts,23,sell,5,xin
2295,2024-02-22 18:15:20,hearts,23,sell,5,xin
2294,2024-02-22 18:15:22,hearts,23,sell,5,xin
2290,2024-02-22 18:15:27,spades,32,sell,5,xin
2286,2024-02-22 18:15:31,hearts,23,sell,5,xin
2283,2024-02-22 18:15:35,hearts,23,sell,5,xin
2276,2024-02-22 18:15:41,spades,32,sell,5,xin
2265,2024-02-22 18:16:16,hearts,23,sell,6,xin
2262,2024-02-22 18:16:17,hearts,23,sell,6,xin
2260,2024-02-22 18:16:19,diamonds,21,buy,6,xin
2258,2024-02-22 18:16:19,hearts,23,sell,6,xin
2255,2024-02-22 18:16:20,diamonds,21,buy,6,xin
2253,2024-02-22 18:16:21,spades,34,buy,6,xin
2254,2024-02-22 18:16:21,hearts,23,sell,6,xin
2250,2024-02-22 18:16:22,hearts,28,sell,6,xin
2249,2024-02-22 18:16:23,diamonds,21,buy,6,xin
2247,2024-02-22 18:16:23,spades,30,sell,6,xin
2245,2024-02-22 18:16:24,hearts,28,sell,6,xin
2244,2024-02-22 18:16:24,diamonds,21,buy,6,xin
2240,2024-02-22 18:16:26,hearts,28,sell,6,xin
2238,2024-02-22 18:16:26,diamonds,21,buy,6,xin
2235,2024-02-22 18:16:28,hearts,24,sell,6,xin
2234,2024-02-22 18:16:28,diamonds,21,buy,6,xin
2231,2024-02-22 18:16:29,hearts,18,sell,6,xin
2230,2024-02-22 18:16:30,diamonds,21,buy,6,xin
2228,2024-02-22 18:16:31,hearts,18,sell,6,xin
2227,2024-02-22 18:16:32,diamonds,21,buy,6,xin
2226,2024-02-22 18:16:33,hearts,11,sell,6,xin
2225,2024-02-22 18:16:34,diamonds,21,buy,6,xin
2223,2024-02-22 18:16:35,hearts,11,sell,6,xin
2222,2024-02-22 18:16:35,diamonds,23,buy,6,xin
2221,2024-02-22 18:16:37,hearts,11,sell,6,xin
2220,2024-02-22 18:16:37,diamonds,24,buy,6,xin
2218,2024-02-22 18:16:38,hearts,11,sell,6,xin
2217,2024-02-22 18:16:39,diamonds,24,buy,6,xin
2216,2024-02-22 18:16:40,spades,36,buy,6,xin
2215,2024-02-22 18:16:41,spades,32,sell,6,xin
2214,2024-02-22 18:16:42,hearts,9,sell,6,xin
2213,2024-02-22 18:16:42,diamonds,25,buy,6,xin
2212,2024-02-22 18:16:44,diamonds,25,buy,6,xin
2211,2024-02-22 18:16:44,hearts,9,sell,6,xin
2210,2024-02-22 18:16:45,diamonds,25,buy,6,xin
2209,2024-02-22 18:16:46,hearts,6,sell,6,xin
2208,2024-02-22 18:16:48,spades,32,sell,6,xin
2205,2024-02-22 18:16:49,spades,32,sell,6,xin
2204,2024-02-22 18:16:51,spades,32,sell,6,xin
2202,2024-02-22 18:16:53,spades,32,sell,6,xin
2200,2024-02-22 18:16:54,spades,32,sell,6,xin
2194,2024-02-22 18:17:03,spades,32,sell,6,xin
2173,2024-02-22 18:17:30,hearts,8,buy,6,xin
2170,2024-02-22 18:17:32,hearts,8,buy,6,xin
2167,2024-02-22 18:17:33,hearts,8,buy,6,xin
2158,2024-02-22 18:17:47,hearts,8,buy,7,xin
2157,2024-02-22 18:17:49,hearts,8,buy,7,xin
2156,2024-02-22 18:17:51,hearts,8,buy,7,xin
2155,2024-02-22 18:17:53,hearts,11,buy,7,xin
2153,2024-02-22 18:17:54,hearts,12,buy,7,xin
2128,2024-02-22 18:18:31,spades,35,sell,7,xin
2122,2024-02-22 18:18:36,spades,35,sell,7,xin
2119,2024-02-22 18:18:38,spades,35,sell,7,xin
2115,2024-02-22 18:18:43,spades,35,sell,7,xin
2103,2024-02-22 18:19:32,spades,35,sell,8,xin
2085,2024-02-22 18:20:02,hearts,13,sell,8,xin
2083,2024-02-22 18:20:04,spades,36,sell,8,xin
2081,2024-02-22 18:20:06,spades,36,sell,8,xin
2080,2024-02-22 18:20:07,spades,37,sell,8,xin
2079,2024-02-22 18:20:10,spades,37,sell,8,xin
2078,2024-02-22 18:20:11,spades,37,sell,8,xin
2077,2024-02-22 18:20:13,spades,37,sell,8,xin
2076,2024-02-22 18:20:15,spades,37,sell,8,xin
2075,2024-02-22 18:20:16,diamonds,24,buy,8,xin
2074,2024-02-22 18:20:19,spades,34,sell,8,xin
2070,2024-02-22 18:20:33,diamonds,23,buy,8,xin
2065,2024-02-22 18:20:57,spades,38,buy,9,xin
2063,2024-02-22 18:20:59,spades,34,sell,9,xin
2062,2024-02-22 18:21:01,spades,38,buy,9,xin
2060,2024-02-22 18:21:03,spades,34,sell,9,xin
2059,2024-02-22 18:21:04,spades,34,sell,9,xin
2048,2024-02-22 18:22:04,spades,37,sell,9,xin
2047,2024-02-22 18:22:07,spades,37,sell,9,xin
2046,2024-02-22 18:22:09,spades,37,sell,9,xin
2040,2024-02-22 18:22:29,spades,39,sell,10,xin
2038,2024-02-22 18:22:31,spades,40,sell,10,xin
2035,2024-02-22 18:22:33,spades,40,sell,10,xin
2033,2024-02-22 18:22:34,spades,40,sell,10,xin
2031,2024-02-22 18:22:36,spades,40,sell,10,xin
2029,2024-02-22 18:22:37,spades,40,sell,10,xin
2026,2024-02-22 18:22:39,spades,40,sell,10,xin
2022,2024-02-22 18:22:41,spades,40,sell,10,xin
2021,2024-02-22 18:22:42,spades,40,sell,10,xin
2018,2024-02-22 18:22:45,hearts,18,buy,10,xin
2016,2024-02-22 18:22:47,hearts,18,buy,10,xin
2014,2024-02-22 18:22:48,hearts,18,buy,10,xin
2012,2024-02-22 18:22:50,hearts,18,buy,10,xin
2010,2024-02-22 18:22:51,hearts,18,buy,10,xin
1999,2024-02-22 18:23:40,spades,38,sell,10,xin
1997,2024-02-22 18:23:42,spades,38,sell,10,xin
1995,2024-02-22 18:23:44,spades,38,sell,10,xin
1987,2024-02-22 18:24:05,hearts,21,buy,11,xin
1985,2024-02-22 18:24:08,spades,37,sell,11,xin
1984,2024-02-22 18:24:10,spades,37,sell,11,xin
1982,2024-02-22 18:24:20,hearts,23,sell,11,xin
1980,2024-02-22 18:24:21,hearts,23,sell,11,xin
1979,2024-02-22 18:24:22,diamonds,25,buy,11,xin
1977,2024-02-22 18:24:23,hearts,23,sell,11,xin
1976,2024-02-22 18:24:24,diamonds,25,buy,11,xin
1974,2024-02-22 18:24:25,hearts,22,sell,11,xin
1973,2024-02-22 18:24:26,diamonds,25,buy,11,xin
1972,2024-02-22 18:24:27,hearts,22,sell,11,xin
1971,2024-02-22 18:24:27,spades,39,sell,11,xin
1970,2024-02-22 18:24:27,diamonds,27,buy,11,xin
1969,2024-02-22 18:24:28,spades,39,sell,11,xin
1967,2024-02-22 18:24:29,diamonds,27,buy,11,xin
1968,2024-02-22 18:24:29,hearts,20,sell,11,xin
1966,2024-02-22 18:24:30,spades,39,sell,11,xin
1965,2024-02-22 18:24:31,hearts,19,sell,11,xin
1964,2024-02-22 18:24:31,diamonds,28,buy,11,xin
1963,2024-02-22 18:24:32,spades,37,sell,11,xin
1962,2024-02-22 18:24:32,hearts,19,sell,11,xin
1961,2024-02-22 18:24:33,diamonds,28,buy,11,xin
1960,2024-02-22 18:24:34,spades,37,sell,11,xin
1959,2024-02-22 18:24:35,hearts,18,sell,11,xin
1958,2024-02-22 18:24:36,spades,37,sell,11,xin
1932,2024-02-22 18:25:27,spades,36,sell,12,xin
1931,2024-02-22 18:25:28,spades,36,sell,12,xin
1930,2024-02-22 18:25:30,spades,36,sell,12,xin
1929,2024-02-22 18:25:31,spades,36,sell,12,xin
1927,2024-02-22 18:25:33,spades,34,sell,12,xin
1925,2024-02-22 18:25:34,spades,34,sell,12,xin
1924,2024-02-22 18:25:35,spades,34,sell,12,xin
1923,2024-02-22 18:25:37,spades,34,sell,12,xin
1922,2024-02-22 18:25:38,spades,34,sell,12,xin
1920,2024-02-22 18:25:40,spades,31,sell,12,xin
1909,2024-02-22 18:25:53,diamonds,21,buy,12,xin
1908,2024-02-22 18:25:55,diamonds,21,buy,12,xin
1906,2024-02-22 18:25:57,diamonds,23,buy,12,xin
1905,2024-02-22 18:25:59,spades,32,buy,12,xin
1904,2024-02-22 18:26:01,spades,32,buy,12,xin
1902,2024-02-22 18:26:02,spades,32,buy,12,xin
1900,2024-02-22 18:26:04,spades,32,buy,12,xin
1898,2024-02-22 18:26:05,spades,32,buy,12,xin
1896,2024-02-22 18:26:06,spades,32,buy,12,xin
1894,2024-02-22 18:26:08,spades,35,buy,12,xin
1891,2024-02-22 18:26:10,spades,35,buy,12,xin
